location numer;location adress;location name ;;;
76;مركز مطوبس;شارع المستشفى امام مدرسة التجارة;;;
77;شارع المستشفى بجوار المستشفى المركزى _ بندر مطوبس;مدرسة الشهيد نعمان الشندويلى البتدائية;;;
78;شارع الدارة الزراعية بندر مطوبس;مدرسة نجيه سلم الرسمية للغات;;;
79;عزبة عمرو;مدرسة عمرو البتدائية القديمة;;;
80;قرية السعاده;مدرسة السعاده للتعليم الساسى;;;
81;قرية القنى;مدرسة القنى البتدائية المشتركة;;;
82;قرية بنى بكار;مدرسة المنار البتدائية;;;
83;قرية الغنايم قومسيون شرق;مدرسة الغنايم للتعليم الساسى;;;
84;عزبة الفار قومسيون شرق;مدرسة الشهيد/ رضا صبرى محمد فراج للتعليم الاساسى;;;
85;قرية الدوايدة قومسيون غرب;مدرسة الدوايدة للتعليم الساسى;;;
86;قرية ابيانة;مدرسة سعد زغلول البتدائية;;;
87;قرية منية المرشد;مدرسة منية المرشد الثانوية المشتركة;;;
88;قرية منية المرشد;مدرسة فتح الله بركات العدادية بنات;;;
89;قرية برمبال;مدرسة الشهيد البطل على محمد فهمى فليفل البتدائية;;;
90;قرية برمبال;مدرسة الشهيد البطل على محمد فهمى فليفل البتدائية;;;
91;قرية معدية مهدى;مدرسة معدية مهدى تعليم اساسى;;;
92;قرية خليج قبلى;مدرسة عبدالحميد شلبى البتدائية;;;
93;قرية خليج قبلى;مدرسة الخليج العدادية بنات;;;
94;قرية بريدعة;مدرسة جزيرة الفرس للتعليم الاساسى;;;
95;قرية اليسرى وقف قبلى;مدرسة اليسرى البتدائية;;;
96;قرية وقف بحرى;مدرسة طلمبات زغلول البتدائية;;;
97;قرية المحضر وقف بحرى;مدرسة عرب المحضر للتعليم الساسى;;;
98;قرية الجزيزة الخضراء;مدرسة الجزيرة الخضراء الثانوية المشتركة;;;
99;قرية الجزيزة الخضراء;مدرسة الجزيرة الخضراء الثانوية المشتركة;;;
100;قرية الجزيزة الخضراء;مدرسة الجزيرة الخضراء الثانوية المشتركة;;;
101;قرية برج مغيزل;مدرسة الشهيد عبدالنبى نصار العدادية بنات;;;
102;مدرسة البصراط البتدائية;مدرسة البصراط البتدائية;;;
103;قرية المنشية قومسيون غرب;معهد أبوعيانة الزهرى البتدائى;;;
104;مطوبس;مدرسة مطوبس البتدائية الجديدة;;;
105;النجارين عزب الغرب;مدرسة النجارين للتعليم الساسى;;;
106;عزبة الروس - قرية خليج بحرى;مجمع مدارس الروس للتعليم الساسى;;;
107;عزبة الروس - قرية خليج بحرى;مجمع مدارس الروس للتعليم الساسى;;;
108;بندر مطوبس;مدرسة مطوبس الثانوية بنات;;;
